feature,importance
bert_dim_188,0.0006654865575866232
bert_dim_713,0.0006627408728389708
bert_dim_613,0.0006620312560615067
bert_dim_641,0.0006616119115101535
bert_dim_514,0.0006592316010465447
bert_dim_487,0.0006591041121740458
bert_dim_575,0.00065698354283173
bert_dim_286,0.0006562902680981826
bert_dim_45,0.0006552404699676963
bert_dim_646,0.0006545496728630974
bert_dim_292,0.0006541283099116545
bert_dim_212,0.0006533070250745201
bert_dim_330,0.0006522347248236992
bert_dim_676,0.0006509531142706627
bert_dim_549,0.0006507883832939215
bert_dim_167,0.0006505902716264977
bert_dim_355,0.0006505843161718198
bert_dim_0,0.000650507330256374
bert_dim_60,0.0006474981795172088
bert_dim_33,0.000647371455484957
bert_dim_565,0.0006446303309362892
bert_dim_242,0.0006441922497737206
bert_dim_488,0.0006432715266808665
bert_dim_320,0.0006417412666051822
bert_dim_211,0.0006398359635005312
bert_dim_148,0.0006396806891216544
bert_dim_262,0.0006395949025209418
bert_dim_57,0.0006387095667967775
bert_dim_395,0.0006358202358448761
bert_dim_215,0.0006347326803221708
bert_dim_391,0.0006341099915951671
bert_dim_175,0.0006336922785249929
bert_dim_257,0.0006312696122236953
bert_dim_539,0.0006304444718878356
bert_dim_4,0.0006301430233222278
bert_dim_97,0.0006300438972681347
bert_dim_35,0.0006299282742753256
bert_dim_725,0.0006283201661680733
bert_dim_606,0.000627340609629407
bert_dim_144,0.0006270260007295585
bert_dim_751,0.0006263014578142997
bert_dim_534,0.0006255807489293655
bert_dim_704,0.0006233711822255403
bert_dim_195,0.0006222941620023517
bert_dim_385,0.0006209920882185872
bert_dim_200,0.0006205915803556077
bert_dim_329,0.0006194657021255488
bert_dim_561,0.0006194089221924976
bert_dim_190,0.0006188490130271598
bert_dim_280,0.0006171138677349942
bert_dim_647,0.000616860388632737
bert_dim_465,0.0006159644941137612
bert_dim_387,0.0006157890563371168
bert_dim_159,0.0006157135640719773
bert_dim_38,0.0006138913622205926
bert_dim_400,0.000613183035907829
bert_dim_750,0.0006128001132044321
bert_dim_119,0.000611840256560216
bert_dim_550,0.0006085383378193304
bert_dim_626,0.0006083801049842087
bert_dim_468,0.0006077085380356674
bert_dim_507,0.0006062461530257307
bert_dim_607,0.0006061324018582784
bert_dim_180,0.0006052834020387987
bert_dim_75,0.0006048201447108647
bert_dim_670,0.0006008749251259089
bert_dim_689,0.000600830655454286
bert_dim_663,0.0006000167777612047
bert_dim_258,0.0005997321983368811
bert_dim_675,0.0005980983990157044
bert_dim_603,0.0005976242624834402
bert_dim_696,0.0005963091506680328
bert_dim_479,0.0005961695192522149
bert_dim_19,0.0005946670041386603
bert_dim_339,0.0005942737710627891
bert_dim_118,0.0005926768469918856
bert_dim_376,0.0005925197199509812
bert_dim_327,0.00059166806202754
bert_dim_317,0.0005896690467990146
bert_dim_53,0.0005875083479760865
bert_dim_521,0.0005870029186177282
bert_dim_205,0.0005869404909030897
bert_dim_529,0.0005867719887020157
bert_dim_721,0.0005867179204924511
bert_dim_360,0.0005867083416991336
bert_dim_573,0.0005866100679260526
bert_dim_372,0.0005860274324187531
bert_dim_112,0.0005854473764122414
bert_dim_461,0.0005845423683216438
bert_dim_251,0.000584430098335071
bert_dim_581,0.0005839172708924092
bert_dim_132,0.0005837105652374257
bert_dim_434,0.0005812620345575179
bert_dim_618,0.0005810339874174441
bert_dim_587,0.0005807370844936663
bert_dim_482,0.0005802643465962767
bert_dim_445,0.0005798900263300077
bert_dim_523,0.0005789303145508432
bert_dim_640,0.0005787111771172145
bert_dim_165,0.0005786785582947709
bert_dim_143,0.0005786141920478088
bert_dim_293,0.0005784829203906766
bert_dim_163,0.0005777556482390043
bert_dim_493,0.0005755995132876535
bert_dim_213,0.0005754604671857051
bert_dim_361,0.0005740120745828294
bert_dim_636,0.0005727700673154653
